Turma,Aluno,Nota_Matemática
3ºB,Thiago Igreja,10.0
3ºB,Bruno Queiroz,5.9
3ºB,Daniela Nascimento,4.1
3ºB,Olívia Dias,5.9
3ºB,Fernanda Barbosa,7.6
3ºB,Igor Ferreira,3.8
3ºB,Mariana Gomes,9.9
3ºB,Bruno Moreira,4.2
3ºB,Ana Ramos,5.1
3ºB,Ana Dias,3.0
3ºB,Vitória Vieira,6.3
3ºB,Olívia Henrique,8.2
3ºB,Juliana Pereira,5.1
3ºB,Eduardo Pereira,7.8
3ºB,Sofia Henrique,6.4
3ºB,Sofia Cardoso,5.5
3ºB,Olívia Queiroz,4.2
3ºB,Igor Almeida,7.2
3ºB,Thiago Teixeira,5.8
3ºB,Nicolas Ramos,3.2
3ºB,Lucas Ferreira,7.1
3ºB,Igor Pereira,5.3
3ºB,Helena Igreja,10.0
3ºB,Ana Silva,4.8
3ºB,Daniela Ramos,9.3
3ºB,Eduardo Lima,8.3
3ºB,Igor Moreira,8.9
3ºB,Bruno Oliveira,4.4
3ºB,Helena Igreja,3.5
3ºB,Mariana Teixeira,5.2
3ºB,Fernanda Oliveira,4.1
3ºB,Vitória Nascimento,7.5
3ºB,Quésia Henrique,6.8
3ºB,Lucas Pereira,4.6
3ºB,Carlos Igreja,8.5
