Turma,Aluno,Nota_Matemática
1ºA,Igor Moreira,3.4
1ºA,Sofia Silva,6.2
1ºA,Igor Nascimento,9.2
1ºA,Eduardo Almeida,4.8
1ºA,Nicolas Oliveira,6.2
1ºA,Rafael Pereira,7.6
1ºA,Olívia Gomes,9.4
1ºA,Fernanda Almeida,7.5
1ºA,Fernanda Esteves,5.3
1ºA,Juliana Moreira,2.1
1ºA,Igor Henrique,3.7
1ºA,Eduardo Vieira,9.6
1ºA,Paulo Lima,2.4
1ºA,Paulo Lima,3.0
1ºA,Olívia Almeida,5.2
1ºA,Nicolas Almeida,6.9
1ºA,Daniela Vieira,4.8
1ºA,Bruno Henrique,4.9
1ºA,Daniela Oliveira,5.0
1ºA,Fernanda Gomes,7.1
1ºA,Nicolas Moreira,9.4
1ºA,Daniela Barbosa,6.0
1ºA,Paulo Moreira,4.3
1ºA,Sofia Oliveira,9.4
1ºA,Paulo Ferreira,9.9
1ºA,Lucas Dias,7.9
1ºA,Mariana Barbosa,6.1
1ºA,Nicolas Teixeira,6.4
1ºA,Gabriel Moreira,5.9
1ºA,Helena Henrique,5.0
1ºA,Sofia Henrique,3.5
1ºA,Carlos Gomes,1.1
1ºA,Rafael Dias,6.8
1ºA,Juliana Gomes,8.8
1ºA,Juliana Ramos,7.5
1ºA,Juliana Dias,10.0
1ºA,Rafael Moreira,6.4
1ºA,Gabriel Silva,5.9
1ºA,Rafael Barbosa,6.8
1ºA,Rafael Silva,7.8
