Turma,Aluno,Nota_Matemática
2ºB,Daniela Lima,7.1
2ºB,Carlos Silva,4.1
2ºB,Eduardo Ramos,5.0
2ºB,Vitória Ferreira,5.3
2ºB,Vitória Henrique,4.1
2ºB,Daniela Pereira,10.0
2ºB,Rafael Dias,5.2
2ºB,Mariana Cardoso,4.4
2ºB,Carlos Teixeira,4.7
2ºB,Sofia Silva,6.0
2ºB,Mariana Dias,8.2
2ºB,Lucas Teixeira,5.5
2ºB,Olívia Dias,4.6
2ºB,Quésia Nascimento,6.9
2ºB,Rafael Jesus,9.4
2ºB,Bruno Silva,5.7
2ºB,Eduardo Gomes,5.0
2ºB,Fernanda Silva,7.6
2ºB,Vitória Dias,6.3
2ºB,Sofia Cardoso,7.8
2ºB,Igor Henrique,8.8
2ºB,Rafael Lima,5.1
2ºB,Bruno Almeida,3.3
2ºB,Helena Vieira,8.9
2ºB,Bruno Vieira,5.9
2ºB,Lucas Silva,7.1
2ºB,Igor Ramos,7.1
2ºB,Quésia Vieira,4.5
2ºB,Quésia Ramos,4.3
2ºB,Quésia Teixeira,2.3
2ºB,Juliana Nascimento,9.3
2ºB,Quésia Queiroz,7.6
2ºB,Quésia Gomes,3.8
2ºB,Igor Teixeira,8.7
2ºB,Carlos Vieira,3.5
2ºB,Daniela Nascimento,7.2
2ºB,Bruno Moreira,5.7
2ºB,Gabriel Dias,7.3
2ºB,Paulo Igreja,4.1
2ºB,Carlos Moreira,9.9
2ºB,Mariana Almeida,4.6
2ºB,Fernanda Vieira,7.2
2ºB,Helena Henrique,2.9
2ºB,Ana Vieira,4.8
2ºB,Igor Moreira,8.9
2ºB,Daniela Lima,8.2
2ºB,Mariana Silva,10.0
2ºB,Ana Jesus,7.8
2ºB,Bruno Oliveira,8.0
