Turma,Aluno,Nota_Matemática
3ºA,Juliana Gomes,6.1
3ºA,Olívia Esteves,7.0
3ºA,Lucas Pereira,4.5
3ºA,Olívia Gomes,5.8
3ºA,Gabriel Nascimento,3.4
3ºA,Thiago Cardoso,9.1
3ºA,Fernanda Jesus,9.3
3ºA,Quésia Moreira,5.6
3ºA,Nicolas Almeida,3.5
3ºA,Vitória Teixeira,8.9
3ºA,Sofia Henrique,10.0
3ºA,Eduardo Jesus,3.8
3ºA,Nicolas Almeida,3.0
3ºA,Nicolas Moreira,7.4
3ºA,Olívia Queiroz,4.8
3ºA,Sofia Ramos,1.3
3ºA,Carlos Pereira,7.5
3ºA,Lucas Nascimento,4.4
3ºA,Quésia Silva,6.2
3ºA,Thiago Nascimento,8.0
3ºA,Nicolas Vieira,5.9
3ºA,Quésia Nascimento,8.0
3ºA,Thiago Henrique,6.7
3ºA,Carlos Jesus,7.2
3ºA,Paulo Nascimento,5.1
3ºA,Quésia Almeida,7.9
3ºA,Vitória Igreja,8.0
3ºA,Daniela Oliveira,3.9
3ºA,Olívia Esteves,6.2
3ºA,Gabriel Vieira,7.9
3ºA,Rafael Silva,5.3
3ºA,Igor Ramos,8.3
